Date ,State ,2014,2015,2016
Jan,Maine,14.2,11.7,20.1
Feb,Maine,15.7,5.2,21.9
Mar,Maine,18.1,21.6,29.2
Apr,Maine,38.7,37.8,37.3
May,Maine,51.7,55.7,52.8
Jun,Maine,61.6,57.5,60.5
Jul,Maine,67.2,64.8,67
Aug,Maine,64.4,67.2,66.6
Sep,Maine,56.4,61.8,59.1
Oct,Maine,48.5,43.2,46.9
Nov,Maine,31.8,37,37.2
Dec,Maine,26,31.2,20.5
Jan,Arizona,46.5,45.1,41.8
Feb,Arizona,50,52,50.6
Mar,Arizona,53.9,56.3,54.9
Apr,Arizona,59.1,58.4,58.5
May,Arizona,66.8,62.9,64.6
Jun,Arizona,77.7,78.4,80.3
Jul,Arizona,81.4,78.6,82.4
Aug,Arizona,76.5,80.6,77.5
Sep,Arizona,74.2,75,71.6
Oct,Arizona,64.9,64.5,66.1
Nov,Arizona,51.7,48.3,53.1
Dec,Arizona,44.3,40.9,44.7
Jan,Utah,30.4,32.1,26.6
Feb,Utah,35.7,38.9,33.7
Mar,Utah,41,44.9,42.2
Apr,Utah,46.7,47.1,47.9
May,Utah,56.5,53.8,54.4
Jun,Utah,66,70,70.9
Jul,Utah,74.9,70.1,73.7
Aug,Utah,67.7,71,70.1
Sep,Utah,64.2,65.5,61.1
Oct,Utah,53.1,54.3,53.2
Nov,Utah,37.7,34.5,41.6
Dec,Utah,31.7,26.6,27.4
Jan,Virginia ,29.4,33.8,33.1
Feb,Virginia ,37,28.9,38.4
Mar,Virginia ,40.7,44.2,51.8
Apr,Virginia ,55,55.9,55.1
May,Virginia ,65.2,67.1,61.9
Jun,Virginia ,72.5,73.7,71.8
Jul,Virginia ,73.4,75.3,77.3
Aug,Virginia ,71.3,73.2,77
Sep,Virginia ,68.1,69.3,71.8
Oct,Virginia ,57.8,56.3,59.8
Nov,Virginia ,42.1,51.1,48.3
Dec,Virginia ,40.8,49.6,39.1
Jan,Alabama ,37.3,43.6,43
Feb,Alabama ,47.3,41.3,49.8
Mar,Alabama ,52.3,57.8,59.7
Apr,Alabama ,62.4,66,63.6
May,Alabama ,70.2,71.8,70.2
Jun,Alabama ,77.9,78.8,79.2
Jul,Alabama ,77.8,81.6,82
Aug,Alabama ,79.5,79,81.6
Sep,Alabama ,76.3,74.4,78.6
Oct,Alabama ,65.2,65,68.5
Nov,Alabama ,48.2,59.2,57.8
Dec,Alabama ,50,56.9,50.1